Brewery,Address,zipcode,PhoneNumber,YelpRating,NumReviews,lat,lng,url,PopDensity,Population Density,LANDSQMI,MedianIncome,Median Income
Texian Brewing Co,"1125 FM 359, Richmond, TX 77406",77406,-3646,3.5,11,29.61188001,-95.74392386,https://www.yelp.com/biz/texian-brewing-co-richmond?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,519,64.9,110,110294
Playalinda Brewery The Brix Project,"5220 S Washington Ave, Titusville, FL 32780",32780,-6861,3,11,28.5479867,-80.7960905,https://www.yelp.com/biz/playalinda-brewery-the-brix-project-titusville?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,543,63.8,42,42472
Lorelei Brewing Company,"520 Nas Dr, Corpus Christi, TX 78418",78418,-1889,4.5,11,27.67432,-97.27928,https://www.yelp.com/biz/lorelei-brewing-company-corpus-christi?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,687,43.4,55,55487
Hi-Wire Brewing Big Top,"2 Huntsman Pl, Asheville, NC 28803",28803,-11077,4.5,11,35.57047,-82.54568,https://www.yelp.com/biz/hi-wire-brewing-big-top-asheville?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,749,38.3,46,45833
Flying Heart Brewing,"700 Barksdale Blvd, Bossier City, LA 71111",71111,-7940,4,11,32.51565,-93.73221,https://www.yelp.com/biz/flying-heart-brewing-bossier-city?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,842,45.7,51,50526
New Anthem Beer Project,"116 Dock St, Wilmington, NC 28401",28401,-5991,5,11,34.23423385,-77.94777618,https://www.yelp.com/biz/new-anthem-beer-project-wilmington?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,914,24.2,28,27702
Port City Brew Bus,"108 Grace St, Wilmington, NC 28401",28401,-8174,5,11,34.238739,-77.9485321,https://www.yelp.com/biz/port-city-brew-bus-wilmington?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,914,24.2,28,27702
Donum Dei Brewery,"3211 Grantline Rd, New Albany, IN 47150",47150,-3879,4,11,38.32627633,-85.82085047,https://www.yelp.com/biz/donum-dei-brewery-new-albany?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,1082,43.9,43,43417
Chain O'Lakes Brewing Company,"3425 Pearl St, McHenry, IL 60050",60050,-9490,4,11,42.346597,-88.26542,https://www.yelp.com/biz/chain-o-lakes-brewing-company-mchenry?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,1130,28,67,66723
Red Barn Pub,"501 Lafitte St, Mandeville, LA 70448",70448,-4612,4,11,30.35901,-90.0665099,https://www.yelp.com/biz/red-barn-pub-mandeville?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,1132,22,80,79838
Fish Brewing,"14701 148th Ave NE, Woodinville, WA 98072",98072,-7160,4,11,47.7343761,-122.142592,https://www.yelp.com/biz/fish-brewing-woodinville?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,1231,18.1,108,107654
Aldus Brewing,"555 Centennial Ave, Hanover, PA 17331",17331,-3757,4,10,39.79052,-76.97698,https://www.yelp.com/biz/aldus-brewing-hanover?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,663,75.8,59,59322
Galveston Bay Beer,"12900 FM 3436 Rd, Dickinson, TX 77539",77539,-3829,5,10,29.483593,-95.008589,https://www.yelp.com/biz/galveston-bay-beer-dickinson?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,770,50.4,66,66129
Fernson Brewing Company,"1400 E. Robur Dr, Sioux Falls, SD 57104",57104,-5215,5,10,43.60834,-96.70749,https://www.yelp.com/biz/fernson-brewing-company-sioux-falls?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,926,28,36,35827
Central 28 Beer Company,"290 Springview Commerce Dr, Debary, FL 32713",32713,NA,5,10,28.86951,-81.32813,https://www.yelp.com/biz/central-28-beer-company-debary?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,943,20.7,54,54098
Yee-Haw Brewing,"126 Buffalo St, Johnson City, TN 37604",37604,NA,3.5,10,36.31528022,-82.35275924,https://www.yelp.com/biz/yee-haw-brewing-johnson-city?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,1014,33.8,39,39298
Crooked Handle Brewing,"760 N Main St, Springboro, OH 45066",45066,-5176,4,10,39.5772578,-84.2307991,https://www.yelp.com/biz/crooked-handle-brewing-springboro-4?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,1153,20.7,96,95500
Duff's Brewery,"Exposition Blvd, Orlando, FL 32819",32819,NA,4,10,28.47899628,-81.46817762,https://www.yelp.com/biz/duffs-brewery-orlando?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,1213,20.6,66,66330
